Pairs,Freq
he,0.04703216811074594
th,0.043285031371377354
in,0.02520914251568569
er,0.022669554825216612
an,0.019980579623543472
ou,0.019358131660193206
it,0.016494871028781995
nd,0.015785280350562692
at,0.014490588586794143
ha,0.014278956279255054
re,0.014278956279255054
ng,0.014191813564386018
on,0.013108754108156559
to,0.012436510307738274
en,0.011614878996115924
ed,0.01160243003684892
al,0.011552634199780898
as,0.011191614381037746
li,0.010631411214022508
sh,0.010606513295488498
se,0.009772433024599143
hi,0.009710188228264117
ea,0.009511004879992032
te,0.009349168409520964
le,0.009075291305646847
ai,0.008901005875908774
ce,0.008764067323971716
ar,0.008764067323971716
ve,0.008676924609102679
id,0.008564883975699631
ll,0.00846529230156359
or,0.008390598545961558
sa,0.008116721442087442
of,0.007705905786276267
st,0.007444477641669157
ic,0.0074320286824021515
ut,0.007332437008266109
wa,0.007270192211931083
me,0.007220396374863061
is,0.0071830494970620455
ho,0.007108355741460014
es,0.007108355741460014
ne,0.006909172393187929
no,0.0067473359227168605
ow,0.006709989044915845
be,0.006523254655910766
wh,0.006324071307638682
ur,0.006199581714968629
yo,0.006187132755701623
ee,0.005987949407429539
ti,0.00580121501842446
nt,0.005676725425754407
ch,0.005602031670152375
oo,0.005527337914550344
de,0.0055148889552833385
ad,0.005489991036749328
el,0.005440195199681306
ly,0.005427746240414301
do,0.00537795040334628
us,0.005253460810676227
ot,0.005241011851409222
so,0.005228562892142217
ry,0.0045936659695249476
wi,0.004568768050990937
ke,0.0045314211731899215
ri,0.004419380539786874
we,0.004319788865650832
ro,0.004307339906383826
co,0.0042450951100488
rs,0.0042450951100488
tt,0.004170401354446769
ld,0.004157952395179763
ul,0.004108156558111742
lo,0.0040085648839757
fo,0.003996115924708695
et,0.003946320087640673
mo,0.003908973209839657
gh,0.0038716263320386418
il,0.0038716263320386418
ca,0.003846728413504631
la,0.0038218304949706205
ma,0.0038093815357036153
ge,0.0035479533910965045
pe,0.0035479533910965045
om,0.0035479533910965045
tl,0.003448361716960462
wo,0.003361219002091425
ra,0.0033238721242904094
ay,0.0031993825316203564
si,0.003162035653819341
em,0.0031495866945523356
ta,0.0030624439796832987
un,0.003049995020416293
rt,0.0030126481426152774
di,0.0028259137536101983
ht,0.0028010158350761875
im,0.002763668957275172
ga,0.0027014241609401453
ab,0.0026640772831391297
ir,0.0026640772831391297
ey,0.0026516283238721245
ki,0.0026267304053381136
up,0.0026142814460711084
ig,0.002601832486804103
ok,0.002589383527537098
qu,0.002589383527537098
gr,0.0025395876904690767
bo,0.0025271387312020715
bu,0.0025271387312020715
go,0.002464893934867045
ev,0.0024026491385320185
ie,0.002377751219998008
tu,0.0023528533014639977
ss,0.002278159545861966
am,0.002278159545861966
ck,0.0022034657902599343
rd,0.0022034657902599343
nc,0.002191016830992929
pl,0.002178567871725924
po,0.002178567871725924
io,0.0021412209939249078
ug,0.0021412209939249078
uc,0.0021287720346579025
mi,0.0021163230753908973
av,0.002091425156856887
fi,0.002066527238322876
ol,0.002054078279055871
ue,0.002016731401254855
ni,0.0019918334827208443
ag,0.0019918334827208443
if,0.0019918334827208443
su,0.001979384523453839
ts,0.001966935564186834
ac,0.0019544866049198287
tr,0.0019046907678518076
fe,0.0018548949307837866
lf,0.0018050990937157653
ep,0.001742854297380739
wn,0.0017304053381137336
kn,0.0017179563788467284
ns,0.0016183647047106862
pi,0.0015934667861766756
ec,0.0015934667861766756
ak,0.0015561199083756598
mu,0.0015436709491086545
eg,0.001518773030574644
os,0.001518773030574644
oi,0.0015063240713076387
ff,0.0014938751120406335
pa,0.001431630315705607
pp,0.0014191813564386018
bi,0.0013693855193705807
ap,0.0013569365601035753
nk,0.0013569365601035753
cr,0.00134448760083657
fa,0.00134448760083657
bl,0.0013195896823025594
ex,0.001294691763768549
cu,0.0012822428045015436
op,0.0012822428045015436
ju,0.0012697938452345384
od,0.0012199980081665173
ye,0.001207549048899512
ik,0.001207549048899512
oc,0.0011951000896325067
fu,0.0011951000896325067
ei,0.0011702021710984962
na,0.0011079573747634697
nl,0.0010830594562294593
ny,0.0010830594562294593
dr,0.0010830594562294593
pr,0.0010830594562294593
ov,0.0010706104969624539
rr,0.0010706104969624539
rn,0.0010706104969624539
ds,0.0010581615376954487
fr,0.0010581615376954487
sp,0.0010457125784284435
gi,0.0010208146598944328
hr,0.0010208146598944328
ui,0.0010083657006274276
ba,0.0009959167413604222
ru,0.0009959167413604222
tw,0.0009585698635594064
au,0.0009461209042924011
by,0.0009336719450253959
aw,0.0009336719450253959
rm,0.0009336719450253959
ct,0.0009212229857583906
ft,0.0009212229857583906
mp,0.0009212229857583906
ef,0.00089632506722438
da,0.0008714271486903695
pu,0.0008589781894233642
rp,0.0008589781894233642
my,0.000846529230156359
sl,0.0008340802708893537
bb,0.0008216313116223483
cl,0.0008216313116223483
af,0.0007842844338213325
rg,0.0007842844338213325
vo,0.0007842844338213325
dd,0.0007718354745543273
gs,0.0007718354745543273
mb,0.000759386515287322
dl,0.000759386515287322
ph,0.000759386515287322
vi,0.0007469375560203167
gl,0.0007469375560203167
du,0.0007469375560203167
iv,0.0007469375560203167
rk,0.0007344885967533114
br,0.0007344885967533114
lk,0.0007344885967533114
hu,0.0006971417189522956
pt,0.0006846927596852904
ty,0.0006846927596852904
sn,0.0006846927596852904
yp,0.0006846927596852904
nu,0.000672243800418285
rc,0.000672243800418285
dn,0.0006473458818842745
ud,0.0006348969226172692
nn,0.000622447963350264
yi,0.000622447963350264
um,0.0006099990040832586
lt,0.0005975500448162533
sk,0.0005851010855492481
oe,0.0005851010855492481
oh,0.0005602031670152375
rl,0.0005602031670152375
dy,0.0005602031670152375
hy,0.0005477542077482323
ew,0.0005477542077482323
gu,0.0005477542077482323
tc,0.0005353052484812269
ls,0.0005353052484812269
xt,0.00047306045214620055
ob,0.00047306045214620055
og,0.0004606114928791953
ys,0.00044816253361219
fl,0.0004232646150781795
yt,0.0004232646150781795
ia,0.0003983666965441689
wr,0.0003983666965441689
eh,0.0003983666965441689
dg,0.00038591773727716364
wl,0.00038591773727716364
ps,0.00038591773727716364
sc,0.00038591773727716364
ze,0.00038591773727716364
ub,0.00037346877801015837
sw,0.00037346877801015837
ci,0.00037346877801015837
eo,0.0003485708594761478
bs,0.0003485708594761478
iz,0.00032367294094213725
ah,0.000311223981675132
sm,0.000311223981675132
ms,0.000311223981675132
xe,0.00029877502240812666
xi,0.0002863260631411214
xp,0.0002863260631411214
kl,0.00027387710387411613
ws,0.00024897918534010554
je,0.00024897918534010554
nv,0.00023653022607310028
rh,0.00023653022607310028
va,0.00023653022607310028
nf,0.00023653022607310028
ua,0.000224081266806095
tm,0.000224081266806095
ks,0.000224081266806095
oa,0.00021163230753908974
ip,0.00021163230753908974
gg,0.00021163230753908974
dv,0.00021163230753908974
nx,0.00021163230753908974
jo,0.00021163230753908974
cc,0.00019918334827208445
py,0.00018673438900507918
mm,0.00018673438900507918
lw,0.00018673438900507918
lu,0.00018673438900507918
mn,0.00018673438900507918
ib,0.0001742854297380739
uz,0.0001742854297380739
zz,0.0001742854297380739
zl,0.0001742854297380739
ek,0.0001742854297380739
ez,0.0001742854297380739
xc,0.00016183647047106862
lv,0.00014938751120406333
eb,0.00014938751120406333
gn,0.00014938751120406333
lp,0.00014938751120406333
xa,0.00014938751120406333
aj,0.00014938751120406333
tn,0.00014938751120406333
ox,0.00013693855193705806
oq,0.00013693855193705806
oy,0.00013693855193705806
tf,0.00013693855193705806
zi,0.00012448959267005277
wd,0.00012448959267005277
mf,0.00012448959267005277
yb,0.00012448959267005277
df,0.00012448959267005277
ix,0.0001120406334030475
ky,0.0001120406334030475
ka,9.959167413604223e-05
rw,9.959167413604223e-05
cy,9.959167413604223e-05
lm,9.959167413604223e-05
rf,9.959167413604223e-05
bt,9.959167413604223e-05
ya,9.959167413604223e-05
rv,8.714271486903695e-05
ii,8.714271486903695e-05
bj,8.714271486903695e-05
za,8.714271486903695e-05
sy,7.469375560203167e-05
ja,7.469375560203167e-05
sq,7.469375560203167e-05
nq,7.469375560203167e-05
nw,6.224479633502639e-05
az,6.224479633502639e-05
wf,6.224479633502639e-05
uf,6.224479633502639e-05
hm,6.224479633502639e-05
lr,4.979583706802111e-05
fy,4.979583706802111e-05
hb,4.979583706802111e-05
hl,4.979583706802111e-05
lb,4.979583706802111e-05
ax,4.979583706802111e-05
hs,4.979583706802111e-05
ym,4.979583706802111e-05
dw,3.734687780101583e-05
uo,3.734687780101583e-05
nj,3.734687780101583e-05
ao,3.734687780101583e-05
hn,3.734687780101583e-05
vy,3.734687780101583e-05
yw,3.734687780101583e-05
pb,2.4897918534010556e-05
oz,2.4897918534010556e-05
np,2.4897918534010556e-05
nh,2.4897918534010556e-05
gt,2.4897918534010556e-05
zy,2.4897918534010556e-05
iu,2.4897918534010556e-05
nr,2.4897918534010556e-05
ku,1.2448959267005278e-05
lc,1.2448959267005278e-05
vu,1.2448959267005278e-05
lg,1.2448959267005278e-05
bm,1.2448959267005278e-05
rb,1.2448959267005278e-05
dj,1.2448959267005278e-05
gp,1.2448959267005278e-05
eu,1.2448959267005278e-05
yl,1.2448959267005278e-05
gz,1.2448959267005278e-05
bd,1.2448959267005278e-05
hf,1.2448959267005278e-05
sg,1.2448959267005278e-05
gy,1.2448959267005278e-05
hd,1.2448959267005278e-05
hj,1.2448959267005278e-05
jc,1.2448959267005278e-05
kr,1.2448959267005278e-05
ml,1.2448959267005278e-05
yn,1.2448959267005278e-05
cs,1.2448959267005278e-05
db,1.2448959267005278e-05
dh,1.2448959267005278e-05
